task,wrapper,id_dim,data_seed,model_seed,epochs,batch_size,n_conv,atom_fea_len,h_fea_len,n_h,output_dir,predictions_csv,best_val_mae,test_mae,status,exit_code,start_time,end_time
matbench_log_kvrh,fastfood,65,123,456,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim65_nconv4_atom56_h64_nh3_dataseed123_modelseed456,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim65_nconv4_atom56_h64_nh3_dataseed123_modelseed456/cgcnn_matbench_log_kvrh_fastfood_dim65_nconv4_atom56_h64_nh3_dataseed123_modelseed456_test_results.csv,0.294,0.2969017028808594,success,0,2026-05-30T19:05:28+00:00,2026-05-30T19:08:46+00:00
matbench_log_kvrh,fastfood,65,123,789,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim65_nconv4_atom56_h64_nh3_dataseed123_modelseed789,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim65_nconv4_atom56_h64_nh3_dataseed123_modelseed789/cgcnn_matbench_log_kvrh_fastfood_dim65_nconv4_atom56_h64_nh3_dataseed123_modelseed789_test_results.csv,0.296,0.29769718647003174,success,0,2026-05-30T19:08:46+00:00,2026-05-30T19:12:00+00:00
matbench_log_kvrh,fastfood,50,123,123,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim50_nconv4_atom56_h64_nh3_dataseed123_modelseed123,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim50_nconv4_atom56_h64_nh3_dataseed123_modelseed123/cgcnn_matbench_log_kvrh_fastfood_dim50_nconv4_atom56_h64_nh3_dataseed123_modelseed123_test_results.csv,0.293,0.2945583164691925,success,0,2026-05-30T19:12:00+00:00,2026-05-30T19:15:08+00:00
matbench_log_kvrh,fastfood,50,123,456,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim50_nconv4_atom56_h64_nh3_dataseed123_modelseed456,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim50_nconv4_atom56_h64_nh3_dataseed123_modelseed456/cgcnn_matbench_log_kvrh_fastfood_dim50_nconv4_atom56_h64_nh3_dataseed123_modelseed456_test_results.csv,0.294,0.29689720273017883,success,0,2026-05-30T19:15:08+00:00,2026-05-30T19:18:25+00:00
matbench_log_kvrh,fastfood,50,123,789,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim50_nconv4_atom56_h64_nh3_dataseed123_modelseed789,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim50_nconv4_atom56_h64_nh3_dataseed123_modelseed789/cgcnn_matbench_log_kvrh_fastfood_dim50_nconv4_atom56_h64_nh3_dataseed123_modelseed789_test_results.csv,0.297,0.29955461621284485,success,0,2026-05-30T19:18:25+00:00,2026-05-30T19:21:40+00:00
matbench_log_kvrh,fastfood,45,123,123,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim45_nconv4_atom56_h64_nh3_dataseed123_modelseed123,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim45_nconv4_atom56_h64_nh3_dataseed123_modelseed123/cgcnn_matbench_log_kvrh_fastfood_dim45_nconv4_atom56_h64_nh3_dataseed123_modelseed123_test_results.csv,0.293,0.2945422828197479,success,0,2026-05-30T19:21:40+00:00,2026-05-30T19:24:55+00:00
matbench_log_kvrh,fastfood,45,123,456,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim45_nconv4_atom56_h64_nh3_dataseed123_modelseed456,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim45_nconv4_atom56_h64_nh3_dataseed123_modelseed456/cgcnn_matbench_log_kvrh_fastfood_dim45_nconv4_atom56_h64_nh3_dataseed123_modelseed456_test_results.csv,0.294,0.2968931496143341,success,0,2026-05-30T19:24:55+00:00,2026-05-30T19:28:11+00:00
matbench_log_kvrh,fastfood,45,123,789,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim45_nconv4_atom56_h64_nh3_dataseed123_modelseed789,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim45_nconv4_atom56_h64_nh3_dataseed123_modelseed789/cgcnn_matbench_log_kvrh_fastfood_dim45_nconv4_atom56_h64_nh3_dataseed123_modelseed789_test_results.csv,0.298,0.2998480796813965,success,0,2026-05-30T19:28:11+00:00,2026-05-30T19:31:31+00:00
matbench_log_kvrh,fastfood,20,123,123,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim20_nconv4_atom56_h64_nh3_dataseed123_modelseed123,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim20_nconv4_atom56_h64_nh3_dataseed123_modelseed123/cgcnn_matbench_log_kvrh_fastfood_dim20_nconv4_atom56_h64_nh3_dataseed123_modelseed123_test_results.csv,0.294,0.2948773205280304,success,0,2026-05-30T19:31:31+00:00,2026-05-30T19:34:49+00:00
matbench_log_kvrh,fastfood,20,123,456,120,512,4,56,64,3,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim20_nconv4_atom56_h64_nh3_dataseed123_modelseed456,results_matbench_log_kvrh_fastfood/cgcnn_matbench_log_kvrh_fastfood_dim20_nconv4_atom56_h64_nh3_dataseed123_modelseed456/cgcnn_matbench_log_kvrh_fastfood_dim20_nconv4_atom56_h64_nh3_dataseed123_modelseed456_test_results.csv,0.294,0.29687225818634033,success,0,2026-05-30T19:34:49+00:00,2026-05-30T19:38:04+00:00
