task,wrapper,id_dim,data_seed,model_seed,epochs,batch_size,n_conv,atom_fea_len,h_fea_len,n_h,output_dir,predictions_csv,best_val_mae,test_mae,status,exit_code,start_time,end_time
matbench_phonons,fastfood,65,123,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim65_nconv4_atom56_h64_nh3_dataseed123_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim65_nconv4_atom56_h64_nh3_dataseed123_modelseed789/cgcnn_matbench_phonons_fastfood_dim65_nconv4_atom56_h64_nh3_dataseed123_modelseed789_test_results.csv,271.731,280.89013671875,success,0,2026-05-30T17:38:19+00:00,2026-05-30T17:38:46+00:00
matbench_phonons,fastfood,50,123,123,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim50_nconv4_atom56_h64_nh3_dataseed123_modelseed123,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim50_nconv4_atom56_h64_nh3_dataseed123_modelseed123/cgcnn_matbench_phonons_fastfood_dim50_nconv4_atom56_h64_nh3_dataseed123_modelseed123_test_results.csv,283.331,364.35906982421875,success,0,2026-05-30T17:38:46+00:00,2026-05-30T17:39:11+00:00
matbench_phonons,fastfood,50,123,456,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim50_nconv4_atom56_h64_nh3_dataseed123_modelseed456,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim50_nconv4_atom56_h64_nh3_dataseed123_modelseed456/cgcnn_matbench_phonons_fastfood_dim50_nconv4_atom56_h64_nh3_dataseed123_modelseed456_test_results.csv,284.095,301.19915771484375,success,0,2026-05-30T17:39:11+00:00,2026-05-30T17:39:35+00:00
matbench_phonons,fastfood,50,123,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim50_nconv4_atom56_h64_nh3_dataseed123_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim50_nconv4_atom56_h64_nh3_dataseed123_modelseed789/cgcnn_matbench_phonons_fastfood_dim50_nconv4_atom56_h64_nh3_dataseed123_modelseed789_test_results.csv,271.876,280.60321044921875,success,0,2026-05-30T17:39:35+00:00,2026-05-30T17:40:02+00:00
matbench_phonons,fastfood,45,123,123,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim45_nconv4_atom56_h64_nh3_dataseed123_modelseed123,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim45_nconv4_atom56_h64_nh3_dataseed123_modelseed123/cgcnn_matbench_phonons_fastfood_dim45_nconv4_atom56_h64_nh3_dataseed123_modelseed123_test_results.csv,283.332,364.3551330566406,success,0,2026-05-30T17:40:02+00:00,2026-05-30T17:40:28+00:00
matbench_phonons,fastfood,45,123,456,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim45_nconv4_atom56_h64_nh3_dataseed123_modelseed456,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim45_nconv4_atom56_h64_nh3_dataseed123_modelseed456/cgcnn_matbench_phonons_fastfood_dim45_nconv4_atom56_h64_nh3_dataseed123_modelseed456_test_results.csv,284.105,301.21136474609375,success,0,2026-05-30T17:40:28+00:00,2026-05-30T17:40:53+00:00
matbench_phonons,fastfood,45,123,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim45_nconv4_atom56_h64_nh3_dataseed123_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim45_nconv4_atom56_h64_nh3_dataseed123_modelseed789/cgcnn_matbench_phonons_fastfood_dim45_nconv4_atom56_h64_nh3_dataseed123_modelseed789_test_results.csv,271.91,280.547607421875,success,0,2026-05-30T17:40:53+00:00,2026-05-30T17:41:18+00:00
matbench_phonons,fastfood,20,123,123,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim20_nconv4_atom56_h64_nh3_dataseed123_modelseed123,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim20_nconv4_atom56_h64_nh3_dataseed123_modelseed123/cgcnn_matbench_phonons_fastfood_dim20_nconv4_atom56_h64_nh3_dataseed123_modelseed123_test_results.csv,283.334,364.40679931640625,success,0,2026-05-30T17:41:18+00:00,2026-05-30T17:41:43+00:00
matbench_phonons,fastfood,20,123,456,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim20_nconv4_atom56_h64_nh3_dataseed123_modelseed456,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim20_nconv4_atom56_h64_nh3_dataseed123_modelseed456/cgcnn_matbench_phonons_fastfood_dim20_nconv4_atom56_h64_nh3_dataseed123_modelseed456_test_results.csv,284.183,301.31494140625,success,0,2026-05-30T17:41:43+00:00,2026-05-30T17:42:09+00:00
matbench_phonons,fastfood,20,123,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim20_nconv4_atom56_h64_nh3_dataseed123_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim20_nconv4_atom56_h64_nh3_dataseed123_modelseed789/cgcnn_matbench_phonons_fastfood_dim20_nconv4_atom56_h64_nh3_dataseed123_modelseed789_test_results.csv,272.191,280.1309814453125,success,0,2026-05-30T17:42:09+00:00,2026-05-30T17:42:33+00:00
