task,method,num_blocks,dim_percent,id_dim,model_seed,split_seed,epochs,batch_size,best_val_mae,test_mae,duration_sec,duration_hours,start_time,end_time,prediction_csv
matbench_log_kvrh,fastfood,2,1,0.01,123,1123,150,64,0.10918716358081736,0.11435819988892988,441,0.1225,2026-06-28T19:11:11+03:00,2026-06-28T19:18:32+03:00,predictions/log_kvrh_fastfood_nb2_dim001_modelseed123_splitseed1123_epochs150_predictions.csv
matbench_log_kvrh,fastfood,2,1,0.01,456,1456,150,64,0.11361941489346294,0.11278714336646921,444,0.1233,2026-06-28T19:18:32+03:00,2026-06-28T19:25:56+03:00,predictions/log_kvrh_fastfood_nb2_dim001_modelseed456_splitseed1456_epochs150_predictions.csv
matbench_log_kvrh,fastfood,2,1,0.01,789,1789,150,64,0.11302770468021141,0.11801658987071807,442,0.1228,2026-06-28T19:25:56+03:00,2026-06-28T19:33:18+03:00,predictions/log_kvrh_fastfood_nb2_dim001_modelseed789_splitseed1789_epochs150_predictions.csv
matbench_log_kvrh,fastfood,2,2,0.02,123,1123,150,64,0.10824975659527013,0.10159072621459105,439,0.1219,2026-06-28T18:49:16+03:00,2026-06-28T18:56:35+03:00,predictions/log_kvrh_fastfood_nb2_dim002_modelseed123_splitseed1123_epochs150_predictions.csv
matbench_log_kvrh,fastfood,2,2,0.02,456,1456,150,64,0.09659104487338835,0.09579022569748957,438,0.1217,2026-06-28T18:56:35+03:00,2026-06-28T19:03:53+03:00,predictions/log_kvrh_fastfood_nb2_dim002_modelseed456_splitseed1456_epochs150_predictions.csv
matbench_log_kvrh,fastfood,2,2,0.02,789,1789,150,64,0.1017722835145037,0.10561902944206744,437,0.1214,2026-06-28T19:03:54+03:00,2026-06-28T19:11:11+03:00,predictions/log_kvrh_fastfood_nb2_dim002_modelseed789_splitseed1789_epochs150_predictions.csv
matbench_log_kvrh,fastfood,2,5,0.05,123,1123,150,64,0.10418235883738827,0.10600312640313218,440,0.1222,2026-06-28T18:27:16+03:00,2026-06-28T18:34:36+03:00,predictions/log_kvrh_fastfood_nb2_dim005_modelseed123_splitseed1123_epochs150_predictions.csv
matbench_log_kvrh,fastfood,2,5,0.05,456,1456,150,64,0.10376992691178606,0.10120381870108562,441,0.1225,2026-06-28T18:34:37+03:00,2026-06-28T18:41:58+03:00,predictions/log_kvrh_fastfood_nb2_dim005_modelseed456_splitseed1456_epochs150_predictions.csv
matbench_log_kvrh,fastfood,2,5,0.05,789,1789,150,64,0.09635689152560017,0.10474664857844246,438,0.1217,2026-06-28T18:41:58+03:00,2026-06-28T18:49:16+03:00,predictions/log_kvrh_fastfood_nb2_dim005_modelseed789_splitseed1789_epochs150_predictions.csv
matbench_log_kvrh,fastfood,2,8,0.08,123,1123,150,64,0.10192539924328974,0.10360272690298716,445,0.1236,2026-06-28T18:05:14+03:00,2026-06-28T18:12:39+03:00,predictions/log_kvrh_fastfood_nb2_dim008_modelseed123_splitseed1123_epochs150_predictions.csv
