task,method,num_blocks,dim_percent,id_dim,model_seed,split_seed,epochs,batch_size,best_val_mae,test_mae,duration_sec,duration_hours,start_time,end_time,prediction_csv
matbench_log_kvrh,fastfood,4,65,0.65,123,1123,210,64,0.41513228942395997,0.4017450337341094,918,0.255,2026-06-29T16:09:15+03:00,2026-06-29T16:24:33+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim065_modelseed123_splitseed1123_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,65,0.65,456,1456,210,64,0.2844473857701627,0.29357357587431704,908,0.2522,2026-06-29T16:24:34+03:00,2026-06-29T16:39:42+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim065_modelseed456_splitseed1456_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,65,0.65,789,1789,210,64,0.2392669100849028,0.24225363846230452,908,0.2522,2026-06-29T16:39:43+03:00,2026-06-29T16:54:51+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim065_modelseed789_splitseed1789_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,70,0.7,123,1123,210,64,0.25889959097830034,0.2547926783254806,922,0.2561,2026-06-29T15:23:19+03:00,2026-06-29T15:38:42+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim070_modelseed123_splitseed1123_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,70,0.7,456,1456,210,64,0.5759550100132134,0.5824018259006115,919,0.2553,2026-06-29T15:38:42+03:00,2026-06-29T15:54:01+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim070_modelseed456_splitseed1456_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,70,0.7,789,1789,210,64,0.1814571556244951,0.17106602932580786,913,0.2536,2026-06-29T15:54:01+03:00,2026-06-29T16:09:14+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim070_modelseed789_splitseed1789_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,80,0.8,123,1123,210,64,0.3574918312150641,0.35292333552400473,924,0.2567,2026-06-29T14:37:24+03:00,2026-06-29T14:52:48+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim080_modelseed123_splitseed1123_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,80,0.8,456,1456,210,64,0.8076909266898554,0.8748420543276183,925,0.2569,2026-06-29T14:52:48+03:00,2026-06-29T15:08:13+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim080_modelseed456_splitseed1456_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,80,0.8,789,1789,210,64,0.2624545786926739,0.26402287223526744,906,0.2517,2026-06-29T15:08:13+03:00,2026-06-29T15:23:19+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim080_modelseed789_splitseed1789_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,100,1.0,123,1123,210,64,0.47701284685535666,0.4352334818936279,920,0.2556,2026-06-29T13:51:36+03:00,2026-06-29T14:06:56+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim100_modelseed123_splitseed1123_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,100,1.0,456,1456,210,64,0.34158120215928656,0.33447620811298745,918,0.255,2026-06-29T14:06:56+03:00,2026-06-29T14:22:14+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim100_modelseed456_splitseed1456_epochs210_predictions.csv
matbench_log_kvrh,fastfood,4,100,1.0,789,1789,210,64,0.4183125486891354,0.3889042601395415,910,0.2528,2026-06-29T14:22:14+03:00,2026-06-29T14:37:24+03:00,predictions/log_kvrh_fastfood_nb4_noclip_dim100_modelseed789_splitseed1789_epochs210_predictions.csv
