task,wrapper,optim,id_dim_frac,id_dim_percent,data_seed,model_seed,epochs,batch_size,n_conv,atom_fea_len,h_fea_len,n_h,output_dir,predictions_csv,best_val_mae,test_mae,duration_sec,status,exit_code,start_time,end_time
matbench_phonons,fastfood,Adam,0.5,50,456,456,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim50_dataseed456_modelseed456,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim50_dataseed456_modelseed456/cgcnn_matbench_phonons_fastfood_dim50_dataseed456_modelseed456_test_results.csv,68.296,83.03684997558594,26,success,0,2026-06-25T11:52:50+03:00,2026-06-25T11:53:16+03:00
matbench_phonons,fastfood,Adam,0.5,50,789,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim50_dataseed789_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim50_dataseed789_modelseed789/cgcnn_matbench_phonons_fastfood_dim50_dataseed789_modelseed789_test_results.csv,62.22,74.07096099853516,26,success,0,2026-06-25T11:53:16+03:00,2026-06-25T11:53:42+03:00
matbench_phonons,fastfood,Adam,0.45,45,123,123,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim45_dataseed123_modelseed123,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim45_dataseed123_modelseed123/cgcnn_matbench_phonons_fastfood_dim45_dataseed123_modelseed123_test_results.csv,70.754,72.59967803955078,26,success,0,2026-06-25T11:53:42+03:00,2026-06-25T11:54:08+03:00
matbench_phonons,fastfood,Adam,0.45,45,456,456,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim45_dataseed456_modelseed456,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim45_dataseed456_modelseed456/cgcnn_matbench_phonons_fastfood_dim45_dataseed456_modelseed456_test_results.csv,69.566,82.8658218383789,25,success,0,2026-06-25T11:54:08+03:00,2026-06-25T11:54:33+03:00
matbench_phonons,fastfood,Adam,0.45,45,789,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim45_dataseed789_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim45_dataseed789_modelseed789/cgcnn_matbench_phonons_fastfood_dim45_dataseed789_modelseed789_test_results.csv,62.303,74.07171630859375,26,success,0,2026-06-25T11:54:33+03:00,2026-06-25T11:54:59+03:00
matbench_phonons,fastfood,Adam,0.2,20,123,123,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim20_dataseed123_modelseed123,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim20_dataseed123_modelseed123/cgcnn_matbench_phonons_fastfood_dim20_dataseed123_modelseed123_test_results.csv,72.467,80.69573211669922,26,success,0,2026-06-25T11:54:59+03:00,2026-06-25T11:55:25+03:00
matbench_phonons,fastfood,Adam,0.2,20,456,456,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim20_dataseed456_modelseed456,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim20_dataseed456_modelseed456/cgcnn_matbench_phonons_fastfood_dim20_dataseed456_modelseed456_test_results.csv,73.452,89.4086685180664,26,success,0,2026-06-25T11:55:25+03:00,2026-06-25T11:55:51+03:00
matbench_phonons,fastfood,Adam,0.2,20,789,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim20_dataseed789_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim20_dataseed789_modelseed789/cgcnn_matbench_phonons_fastfood_dim20_dataseed789_modelseed789_test_results.csv,71.07,82.34779357910156,25,success,0,2026-06-25T11:55:51+03:00,2026-06-25T11:56:16+03:00
matbench_phonons,fastfood,Adam,0.1,10,123,123,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim10_dataseed123_modelseed123,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim10_dataseed123_modelseed123/cgcnn_matbench_phonons_fastfood_dim10_dataseed123_modelseed123_test_results.csv,83.544,91.05035400390625,26,success,0,2026-06-25T11:56:16+03:00,2026-06-25T11:56:42+03:00
matbench_phonons,fastfood,Adam,0.1,10,456,456,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim10_dataseed456_modelseed456,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim10_dataseed456_modelseed456/cgcnn_matbench_phonons_fastfood_dim10_dataseed456_modelseed456_test_results.csv,90.373,89.0536880493164,26,success,0,2026-06-25T11:56:42+03:00,2026-06-25T11:57:08+03:00
matbench_phonons,fastfood,Adam,0.1,10,789,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim10_dataseed789_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim10_dataseed789_modelseed789/cgcnn_matbench_phonons_fastfood_dim10_dataseed789_modelseed789_test_results.csv,84.913,98.57630920410156,25,success,0,2026-06-25T11:57:08+03:00,2026-06-25T11:57:33+03:00
matbench_phonons,fastfood,Adam,0.08,8,123,123,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim8_dataseed123_modelseed123,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim8_dataseed123_modelseed123/cgcnn_matbench_phonons_fastfood_dim8_dataseed123_modelseed123_test_results.csv,90.716,96.30427551269531,26,success,0,2026-06-25T11:57:33+03:00,2026-06-25T11:57:59+03:00
matbench_phonons,fastfood,Adam,0.08,8,456,456,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim8_dataseed456_modelseed456,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim8_dataseed456_modelseed456/cgcnn_matbench_phonons_fastfood_dim8_dataseed456_modelseed456_test_results.csv,96.988,97.54067993164062,26,success,0,2026-06-25T11:57:59+03:00,2026-06-25T11:58:25+03:00
matbench_phonons,fastfood,Adam,0.08,8,789,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim8_dataseed789_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim8_dataseed789_modelseed789/cgcnn_matbench_phonons_fastfood_dim8_dataseed789_modelseed789_test_results.csv,89.954,106.80927276611328,26,success,0,2026-06-25T11:58:25+03:00,2026-06-25T11:58:51+03:00
matbench_phonons,fastfood,Adam,0.05,5,123,123,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim5_dataseed123_modelseed123,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim5_dataseed123_modelseed123/cgcnn_matbench_phonons_fastfood_dim5_dataseed123_modelseed123_test_results.csv,103.986,103.65106201171875,26,success,0,2026-06-25T11:58:51+03:00,2026-06-25T11:59:17+03:00
matbench_phonons,fastfood,Adam,0.05,5,456,456,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim5_dataseed456_modelseed456,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim5_dataseed456_modelseed456/cgcnn_matbench_phonons_fastfood_dim5_dataseed456_modelseed456_test_results.csv,104.348,136.02047729492188,26,success,0,2026-06-25T11:59:17+03:00,2026-06-25T11:59:43+03:00
matbench_phonons,fastfood,Adam,0.05,5,789,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim5_dataseed789_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim5_dataseed789_modelseed789/cgcnn_matbench_phonons_fastfood_dim5_dataseed789_modelseed789_test_results.csv,105.688,118.56097412109375,26,success,0,2026-06-25T11:59:43+03:00,2026-06-25T12:00:09+03:00
matbench_phonons,fastfood,Adam,0.02,2,123,123,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim2_dataseed123_modelseed123,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim2_dataseed123_modelseed123/cgcnn_matbench_phonons_fastfood_dim2_dataseed123_modelseed123_test_results.csv,207.803,237.6428985595703,26,success,0,2026-06-25T12:00:09+03:00,2026-06-25T12:00:35+03:00
matbench_phonons,fastfood,Adam,0.02,2,456,456,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim2_dataseed456_modelseed456,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim2_dataseed456_modelseed456/cgcnn_matbench_phonons_fastfood_dim2_dataseed456_modelseed456_test_results.csv,234.03,209.11866760253906,26,success,0,2026-06-25T12:00:35+03:00,2026-06-25T12:01:01+03:00
matbench_phonons,fastfood,Adam,0.02,2,789,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim2_dataseed789_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim2_dataseed789_modelseed789/cgcnn_matbench_phonons_fastfood_dim2_dataseed789_modelseed789_test_results.csv,254.354,273.75958251953125,25,success,0,2026-06-25T12:01:01+03:00,2026-06-25T12:01:26+03:00
matbench_phonons,fastfood,Adam,0.01,1,123,123,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim1_dataseed123_modelseed123,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim1_dataseed123_modelseed123/cgcnn_matbench_phonons_fastfood_dim1_dataseed123_modelseed123_test_results.csv,265.977,286.8970947265625,26,success,0,2026-06-25T12:01:26+03:00,2026-06-25T12:01:52+03:00
matbench_phonons,fastfood,Adam,0.01,1,456,456,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim1_dataseed456_modelseed456,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim1_dataseed456_modelseed456/cgcnn_matbench_phonons_fastfood_dim1_dataseed456_modelseed456_test_results.csv,291.545,293.71600341796875,26,success,0,2026-06-25T12:01:52+03:00,2026-06-25T12:02:18+03:00
matbench_phonons,fastfood,Adam,0.01,1,789,789,80,512,4,56,64,3,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim1_dataseed789_modelseed789,results_matbench_phonons_fastfood/cgcnn_matbench_phonons_fastfood_dim1_dataseed789_modelseed789/cgcnn_matbench_phonons_fastfood_dim1_dataseed789_modelseed789_test_results.csv,272.322,296.3788757324219,26,success,0,2026-06-25T12:02:18+03:00,2026-06-25T12:02:44+03:00
