task,wrapper,optim,id_dim_frac,id_dim_percent,data_seed,model_seed,epochs,batch_size,n_conv,atom_fea_len,h_fea_len,n_h,output_dir,predictions_csv,best_val_mae,test_mae,duration_sec,status,exit_code,start_time,end_time
matbench_dielectric,fastfood,Adam,0.5,50,123,123,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim50_dataseed123_modelseed123,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim50_dataseed123_modelseed123/cgcnn_matbench_dielectric_fastfood_dim50_dataseed123_modelseed123_test_results.csv,0.462,0.4576849043369293,72,success,0,2026-06-25T12:01:58+03:00,2026-06-25T12:03:10+03:00
matbench_dielectric,fastfood,Adam,0.5,50,456,456,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim50_dataseed456_modelseed456,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim50_dataseed456_modelseed456/cgcnn_matbench_dielectric_fastfood_dim50_dataseed456_modelseed456_test_results.csv,0.396,0.5596369504928589,70,success,0,2026-06-25T12:03:11+03:00,2026-06-25T12:04:21+03:00
matbench_dielectric,fastfood,Adam,0.5,50,789,789,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim50_dataseed789_modelseed789,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim50_dataseed789_modelseed789/cgcnn_matbench_dielectric_fastfood_dim50_dataseed789_modelseed789_test_results.csv,0.511,0.42785197496414185,72,success,0,2026-06-25T12:04:21+03:00,2026-06-25T12:05:33+03:00
matbench_dielectric,fastfood,Adam,0.45,45,123,123,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim45_dataseed123_modelseed123,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim45_dataseed123_modelseed123/cgcnn_matbench_dielectric_fastfood_dim45_dataseed123_modelseed123_test_results.csv,0.477,0.5976442694664001,75,success,0,2026-06-25T12:05:33+03:00,2026-06-25T12:06:48+03:00
matbench_dielectric,fastfood,Adam,0.45,45,456,456,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim45_dataseed456_modelseed456,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim45_dataseed456_modelseed456/cgcnn_matbench_dielectric_fastfood_dim45_dataseed456_modelseed456_test_results.csv,0.395,0.5383327603340149,71,success,0,2026-06-25T12:06:48+03:00,2026-06-25T12:07:59+03:00
matbench_dielectric,fastfood,Adam,0.45,45,789,789,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim45_dataseed789_modelseed789,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim45_dataseed789_modelseed789/cgcnn_matbench_dielectric_fastfood_dim45_dataseed789_modelseed789_test_results.csv,0.515,0.6445505619049072,69,success,0,2026-06-25T12:07:59+03:00,2026-06-25T12:09:08+03:00
matbench_dielectric,fastfood,Adam,0.2,20,123,123,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim20_dataseed123_modelseed123,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim20_dataseed123_modelseed123/cgcnn_matbench_dielectric_fastfood_dim20_dataseed123_modelseed123_test_results.csv,0.493,0.49017876386642456,71,success,0,2026-06-25T12:09:08+03:00,2026-06-25T12:10:19+03:00
matbench_dielectric,fastfood,Adam,0.2,20,456,456,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim20_dataseed456_modelseed456,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim20_dataseed456_modelseed456/cgcnn_matbench_dielectric_fastfood_dim20_dataseed456_modelseed456_test_results.csv,0.412,0.5698484182357788,72,success,0,2026-06-25T12:10:19+03:00,2026-06-25T12:11:31+03:00
matbench_dielectric,fastfood,Adam,0.2,20,789,789,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim20_dataseed789_modelseed789,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim20_dataseed789_modelseed789/cgcnn_matbench_dielectric_fastfood_dim20_dataseed789_modelseed789_test_results.csv,0.567,0.5339953303337097,72,success,0,2026-06-25T12:11:31+03:00,2026-06-25T12:12:43+03:00
matbench_dielectric,fastfood,Adam,0.1,10,123,123,80,512,4,56,64,3,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim10_dataseed123_modelseed123,results_matbench_dielectric_fastfood/cgcnn_matbench_dielectric_fastfood_dim10_dataseed123_modelseed123/cgcnn_matbench_dielectric_fastfood_dim10_dataseed123_modelseed123_test_results.csv,0.525,0.7686124444007874,71,success,0,2026-06-25T12:12:43+03:00,2026-06-25T12:13:54+03:00
